LocationID (QRCode),Latitude,Longitude,Description,Moderator (0/1),Active (0/1),Dosimeter,Collected Flag (0/1),Wear Period,System_Date Deployed,System_Date Collected,Mismatch (0/1), my_Date Deployed, my_Date Collected, recordID
ALPINE-001,37.41845703,-122.19710960,Background dosimeter (Outside guard shack),0,1,BA002449025,0,7-1-2021,07/23/2021,07/23/2021,,07/23/2021,07/23/2021, 761C49C8-C21B-4A0F-B478-C86D08BFE2F9
ALPINE-001,37.41430664,-122.19606921,Background dosimeter (Outside guard shack),0,1,BA001676017,1,1-1-2021,01/05/2021,07/23/2021,0,01/05/2021,07/23/2021, 308E2660-9DFA-4451-BC85-1162AC456233
ALPINE-002,37.41842651,-122.19709488,Background dosimeter (Outside guard shack),0,1,BA00154792Z,0,7-1-2021,07/23/2021,07/23/2021,,07/23/2021,07/23/2021, 56AB30F9-F296-4280-9D60-104F42BAF84B
ALPINE-002,37.41400146,-122.19507250,Background dosimeter (Outside guard shack),0,1,BA00037577X,1,1-1-2021,01/21/2021,07/23/2021,0,01/21/2021,07/23/2021, 0B8D5DFD-ECF7-4CBC-9777-B5AE1AF26A6F
BLG 005-001,37.41595459,-122.20276720,MCC control room; Bldg 005; Outside by S entrance,1,1,BA00101270S,0,7-1-2021,09/01/2021,09/01/2021,,09/01/2021,09/01/2021, 717670B1-A38B-4BAB-8F2E-16A9638A45F0
BLG 005-001,37.41607666,-122.20285875,MCC control room; Bldg 005; Outside by S entrance,1,1,BA00166891V,1,1-1-2021,02/24/2021,09/01/2021,0,02/24/2021,09/01/2021, CA7985D9-D0CF-4AB8-8C97-5D4580E0DC4E
BLG 006-001,37.41726685,-122.20258755,Inside Room 101A RGD Titan G2 #63,0,1,BA00211931D,0,7-1-2021,07/29/2021,07/29/2021,,07/29/2021,07/29/2021, E4E89701-92DE-4DA7-AE92-ED4BC717E1B4
BLG 006-001,37.41723633,-122.20268890,Inside Room 101A RGD Titan G2 #63,0,1,BA001183872,1,1-1-2021,01/15/2021,07/29/2021,0,01/15/2021,07/29/2021, 31D56D25-5031-48AB-BB61-BEAEDBB5424F
BLG 006-002,37.41726685,-122.20258621,Inside Room 107 RGD Titan G3 #62,0,1,BA00049006C,0,7-1-2021,07/29/2021,07/29/2021,,07/29/2021,07/29/2021, C5DE8889-D04F-4E9E-B98D-DD774D349FCA
BLG 006-002,37.41717529,-122.20294582,Inside Room 107 RGD Titan G3 #62,0,1,BA00075898H,1,1-1-2021,02/03/2021,07/29/2021,0,02/03/2021,07/29/2021, 5B4B496D-731B-4438-AA10-42E6B46FB2C0
BLG 006-003,37.41726685,-122.20258637,Inside Room 110 RGD Titan Krios #56,0,1,BA000124893,0,7-1-2021,07/29/2021,07/29/2021,,07/29/2021,07/29/2021, 0F2A547C-723B-44F4-A36D-ABDED20E654D
BLG 006-003,37.41720581,-122.20282268,Inside Room 110 RGD Titan Krios #56,0,1,BA00063855V,1,1-1-2021,01/29/2021,07/29/2021,0,01/29/2021,07/29/2021, E8C1F6F0-E28A-4B90-80D0-0B562C7D8336
BLG 006-008,37.41726685,-122.20258788,RGD#56: Titan Krios #1: Room 110,0,1,BA00199796E,0,7-1-2021,07/29/2021,07/29/2021,,07/29/2021,07/29/2021, 6B9E3538-D2CF-49FC-8148-7627323C6838
BLG 006-008,37.41723633,-122.20268841,RGD#56: Titan Krios #1: Room 110,0,1,BA000919020,1,1-1-2021,01/15/2021,07/29/2021,0,01/15/2021,07/29/2021, CC560F74-327F-4340-98BD-914B01106D6D
BLG 006-009,37.41726685,-122.20259691,RGD#58: Talos Arctica: Room 105A,0,1,BA00125336A,0,7-1-2021,07/29/2021,07/29/2021,,07/29/2021,07/29/2021, 536D6233-D5CB-49B9-A277-9866433263A8
BLG 006-009,37.41723633,-122.20272060,RGD#58: Talos Arctica: Room 105A,0,1,BA000664261,1,1-1-2021,01/29/2021,07/29/2021,0,01/29/2021,07/29/2021, A0205638-4CA8-4688-A903-D4CA92EEA89D
BLG 006-010,37.41726685,-122.20259916,RGD#62: Titan G3: Room 107,0,1,BA001729121,0,7-1-2021,07/29/2021,07/29/2021,,07/29/2021,07/29/2021, 0BFB85E7-EBFA-4ED4-B369-40A77702316B
BLG 006-010,37.41723633,-122.20269004,RGD#62: Titan G3: Room 107,0,1,BA00130739Z,1,1-1-2021,01/15/2021,07/29/2021,0,01/15/2021,07/29/2021, 99AC6615-8043-44BB-97AC-7E6DB0FECA69
BLG 006-011,37.41726685,-122.20258839,RGD#63: Titan G2: Room 101A,0,1,BA001835308,0,7-1-2021,07/29/2021,07/29/2021,,07/29/2021,07/29/2021, 75A69ACA-A5D5-4331-8CD7-C13E2B444224
BLG 006-011,37.41723633,-122.20268893,RGD#63: Titan G2: Room 101A,0,1,BA00102393H,1,1-1-2021,01/15/2021,07/29/2021,0,01/15/2021,07/29/2021, 231DC1AE-F917-41D5-9ABF-F50185D2E379
BLG 008-001,37.41787720,-122.20206601,On backside near fence,0,1,BA001710857,0,7-1-2021,07/29/2021,07/29/2021,,07/29/2021,07/29/2021, DE86B328-204A-48B9-A9D1-788628FDCF45
BLG 008-001,37.41720581,-122.20293849,On backside near fence,0,1,BA00020624F,1,1-1-2021,01/22/2021,07/29/2021,0,01/22/2021,07/29/2021, CF419EBC-1460-44E2-873D-95CE0B0D9487
BLG 015-001,37.41580200,-122.20686371,Lower level: in break room,0,1,BA00161380D,0,7-1-2021,07/20/2021,07/20/2021,,07/20/2021,07/20/2021, 87CAF31D-6EEA-4C93-9595-A2F4516598D1
BLG 015-001,37.41574097,-122.20689413,Lower level: in break room,0,1,BA00111949X,1,1-1-2021,01/14/2021,07/20/2021,0,01/14/2021,07/20/2021, 2D7F08E6-78F2-4342-BAE5-E42237358F23
BLG 015-002,37.41580200,-122.20683840,Upper level: next to staircase doorway,0,1,BA00085426Y,0,7-1-2021,07/20/2021,07/20/2021,,07/20/2021,07/20/2021, 7B19B807-FE04-4FC9-A696-92EFACA0D496
BLG 015-002,37.41571045,-122.20682456,Upper level: next to staircase doorway,0,1,BA00092848L,1,1-1-2021,01/14/2021,07/20/2021,0,01/14/2021,07/20/2021, DAC5D82F-0C80-41B6-BA5C-8EC1855A43C8
BLG 015-003,37.41577148,-122.20679927,Lower level: I Beam behind office divider NE corner,0,1,BA001057085,0,7-1-2021,07/20/2021,07/20/2021,,07/20/2021,07/20/2021, 527BE0C4-2162-47FB-8D17-65FD68563325
BLG 015-003,37.41583252,-122.20676629,Lower level: I Beam behind office divider NE corner,0,1,BA000692246,1,1-1-2021,01/14/2021,07/20/2021,0,01/14/2021,07/20/2021, 3DCCD825-2615-49F0-A2E2-6730BAEA65EF
BLG 015-004,37.41571045,-122.20681413,South west corner of building on unistrut 8',0,1,BA00153839Q,0,7-1-2021,07/20/2021,07/20/2021,,07/20/2021,07/20/2021, 3B236D39-B24A-4C2D-82DD-189162A8428E
BLG 015-004,37.41561890,-122.20675547,South west corner of building on unistrut 8',0,1,BA000733272,1,1-1-2021,01/14/2021,07/20/2021,0,01/14/2021,07/20/2021, 9EDC94B0-232A-4616-9D67-973DDDC2000D
BLG 024-001,37.41702271,-122.20799029,RCF Area: Outside wall: hallway across from J. Yu above cabinets,1,1,BA00055854X,0,7-1-2021,07/28/2021,07/28/2021,,07/28/2021,07/28/2021, E8EDF5EA-BDB2-4E50-B7BF-5AFE9825F00A
BLG 024-001,37.41702271,-122.20805790,RCF Area: Outside wall: hallway across from J. Yu above cabinets,1,1,BA001280876,1,1-1-2021,01/21/2021,07/28/2021,0,01/21/2021,07/28/2021, 481CB4DE-B7A0-41E5-8005-4049FCCBDA50
